datetime,open,high,low,close,volume,close_time,asset_volume,trade_number,taker_buy_base,taker_buy_quote
2020-09-17 23:00:00,333.32000000,334.42000000,332.11000000,333.49000000,172.75082000,1600379999999,57614.67914260,163,102.06771000,34075.12810200
2020-09-18 00:00:00,333.42000000,333.61000000,328.10000000,328.66000000,139.97738000,1600383599999,46280.28700890,178,100.10222000,33067.09546490
2020-09-18 01:00:00,329.03000000,331.51000000,328.97000000,330.84000000,87.69673000,1600387199999,28935.42198760,101,59.78995000,19736.99319540
2020-09-18 02:00:00,330.55000000,332.74000000,327.82000000,327.89000000,36.97020000,1600390799999,12210.11614730,67,28.28552000,9349.88854960
2020-09-18 03:00:00,328.44000000,328.89000000,326.71000000,327.55000000,22.57869000,1600394399999,7399.99945360,48,17.83705000,5846.26773170
2020-09-18 04:00:00,328.03000000,329.03000000,328.00000000,329.03000000,6.11775000,1600397999999,2007.48922140,18,5.61641000,1842.95837800
2020-09-18 05:00:00,328.75000000,328.75000000,327.78000000,328.75000000,1.52755000,1600401599999,501.21897390,10,0.75497000,247.89641290
2020-09-18 06:00:00,328.25000000,328.57000000,324.73000000,325.02000000,75.28912000,1600405199999,24505.86656650,112,28.72352000,9347.30731590
2020-09-18 07:00:00,325.37000000,326.89000000,324.50000000,326.89000000,48.58970000,1600408799999,15810.85927180,95,38.11507000,12402.66435680
2020-09-18 08:00:00,327.06000000,329.52000000,325.39000000,328.92000000,85.31608000,1600412399999,27910.58774220,141,23.61321000,7737.60691790
2020-09-18 09:00:00,329.00000000,329.24000000,326.69000000,327.62000000,91.60473000,1600415999999,30073.92856970,94,32.12476000,10546.03055030
2020-09-18 10:00:00,327.81000000,328.26000000,325.94000000,327.93000000,110.38789000,1600419599999,36054.86519380,167,32.26124000,10553.15227300
2020-09-18 11:00:00,328.19000000,329.56000000,328.08000000,329.00000000,126.84193000,1600423199999,41697.56790190,175,72.30211000,23767.77035980
2020-09-18 12:00:00,329.40000000,330.00000000,327.34000000,327.40000000,144.17927000,1600426799999,47403.15947350,130,25.15215000,8276.80675210
2020-09-18 13:00:00,328.17000000,328.79000000,327.54000000,327.64000000,35.31124000,1600430399999,11588.26961910,94,23.56954000,7739.23277050
2020-09-18 14:00:00,327.35000000,328.79000000,326.98000000,328.78000000,41.59490000,1600433999999,13645.37082360,71,23.37340000,7667.06390930
2020-09-18 15:00:00,328.07000000,328.47000000,325.16000000,325.33000000,40.04696000,1600437599999,13096.61781930,116,20.03647000,6560.08768480
2020-09-18 16:00:00,325.45000000,327.39000000,325.00000000,327.04000000,89.47567000,1600441199999,29177.00209000,133,54.02095000,17630.93320660
2020-09-18 17:00:00,326.41000000,327.31000000,322.33000000,324.42000000,83.28669000,1600444799999,27025.37003620,165,52.04026000,16897.57455720
2020-09-18 18:00:00,323.73000000,325.61000000,322.68000000,324.46000000,54.35256000,1600448399999,17609.80095730,114,26.89289000,8721.05415920
2020-09-18 19:00:00,323.61000000,325.19000000,318.31000000,318.97000000,316.92968000,1600451999999,101755.94436900,233,69.29941000,22289.37840190
2020-09-18 20:00:00,319.74000000,322.41000000,318.41000000,321.52000000,126.64538000,1600455599999,40611.35266820,165,98.47597000,31604.26576420
2020-09-18 21:00:00,321.52000000,322.41000000,320.29000000,321.85000000,45.58995000,1600459199999,14654.64563590,105,23.10464000,7428.78640560
2020-09-18 22:00:00,321.69000000,324.29000000,321.12000000,323.05000000,85.33657000,1600462799999,27595.16830790,118,33.83937000,10946.10838180
2020-09-18 23:00:00,322.85000000,324.80000000,322.33000000,324.75000000,22.00775000,1600466399999,7117.78708270,68,13.49777000,4370.93130560
2020-09-19 00:00:00,324.69000000,326.22000000,323.86000000,325.21000000,51.12833000,1600469999999,16617.08922800,86,38.01980000,12357.88377450
2020-09-19 01:00:00,325.86000000,326.22000000,323.06000000,325.94000000,25.01269000,1600473599999,8115.71947240,65,12.37579000,4018.00054730
2020-09-19 02:00:00,325.94000000,327.06000000,325.01000000,325.87000000,32.93492000,1600477199999,10741.84165990,58,27.74668000,9050.76993100
2020-09-19 03:00:00,325.57000000,325.57000000,324.16000000,324.17000000,3.72862000,1600480799999,1210.02649480,17,0.22284000,72.44305560
2020-09-19 04:00:00,325.09000000,326.36000000,325.01000000,325.94000000,43.51132000,1600484399999,14184.39718580,33,43.06699000,14039.92331290
2020-09-19 05:00:00,325.01000000,325.24000000,324.45000000,325.24000000,10.56729000,1600487999999,3434.44238440,14,9.90503000,3219.38537580
2020-09-19 06:00:00,324.87000000,325.09000000,323.89000000,325.09000000,2.74579000,1600491599999,891.66772030,12,1.06805000,346.99702170
2020-09-19 07:00:00,325.03000000,325.09000000,321.31000000,321.90000000,26.61196000,1600495199999,8610.00556210,74,15.34710000,4966.62156010
2020-09-19 08:00:00,322.30000000,323.14000000,322.06000000,323.14000000,33.96578000,1600498799999,10969.29166090,41,3.85367000,1243.83312710
2020-09-19 09:00:00,323.42000000,323.87000000,320.88000000,321.61000000,32.27416000,1600502399999,10412.99547510,78,14.44633000,4661.69770130
2020-09-19 10:00:00,320.84000000,322.42000000,320.53000000,321.51000000,71.51101000,1600505999999,22986.44528130,86,16.06080000,5170.52558290
2020-09-19 11:00:00,321.85000000,323.32000000,321.85000000,322.79000000,20.36379000,1600509599999,6576.00388940,57,12.89463000,4165.11227990
2020-09-19 12:00:00,322.78000000,324.20000000,322.19000000,324.20000000,38.48844000,1600513199999,12434.20387240,77,30.72295000,9928.95348560
2020-09-19 13:00:00,324.23000000,328.49000000,323.99000000,328.49000000,90.92775000,1600516799999,29648.35234210,133,85.25499000,27806.64438400
2020-09-19 14:00:00,328.68000000,329.32000000,325.78000000,327.27000000,38.87331000,1600520399999,12704.74589690,114,25.10000000,8206.96377040
2020-09-19 15:00:00,327.62000000,327.91000000,326.13000000,327.70000000,86.59895000,1600523999999,28332.17441790,100,74.54954000,24395.46302350
2020-09-19 16:00:00,327.40000000,327.88000000,326.50000000,327.07000000,66.70815000,1600527599999,21839.75063570,73,24.25845000,7942.96938490
2020-09-19 17:00:00,327.24000000,327.24000000,325.65000000,325.93000000,27.42722000,1600531199999,8951.09157210,76,13.16387000,4298.82621540
2020-09-19 18:00:00,326.76000000,328.31000000,326.14000000,327.18000000,30.57412000,1600534799999,10005.14102820,56,29.88057000,9778.36857180
2020-09-19 19:00:00,326.99000000,328.11000000,326.69000000,327.03000000,154.63821000,1600538399999,50694.01151190,109,38.81671000,12723.37343150
2020-09-19 20:00:00,328.11000000,328.11000000,324.25000000,325.85000000,85.84775000,1600541999999,27938.11693420,141,11.56747000,3768.99166850
2020-09-19 21:00:00,325.87000000,326.91000000,325.01000000,326.84000000,63.17753000,1600545599999,20592.17549980,80,44.20606000,14412.34089470
2020-09-19 22:00:00,326.04000000,327.69000000,326.04000000,327.69000000,20.93683000,1600549199999,6849.16152200,36,9.19475000,3009.58775560
