datetime,open,high,low,close,volume,close_time,asset_volume,trade_number,taker_buy_base,taker_buy_quote
2020-10-03 12:15:00,297.92000000,297.92000000,297.34000000,297.77000000,3.45854000,1601720999999,1029.56438090,16,3.07655000,915.95528210
2020-10-03 12:30:00,297.18000000,298.29000000,297.18000000,297.91000000,1.78085000,1601721899999,530.54703580,13,1.71955000,512.32990180
2020-10-03 12:45:00,297.86000000,298.74000000,297.86000000,298.74000000,11.79948000,1601722799999,3522.72062140,18,10.01508000,2991.07897050
2020-10-03 13:00:00,298.56000000,298.56000000,298.09000000,298.38000000,6.37399000,1601723699999,1902.17421890,19,5.02606000,1500.36976520
2020-10-03 13:15:00,298.54000000,299.87000000,298.54000000,298.93000000,16.19733000,1601724599999,4844.82236150,37,14.38533000,4303.32428150
2020-10-03 13:30:00,298.50000000,298.50000000,297.80000000,298.00000000,5.39326000,1601725499999,1607.80067890,14,0.79133000,236.16365450
2020-10-03 13:45:00,298.31000000,298.50000000,298.20000000,298.20000000,5.65071000,1601726399999,1685.67112760,8,3.65071000,1089.27112760
2020-10-03 14:00:00,298.00000000,298.38000000,297.28000000,297.29000000,6.41928000,1601727299999,1910.79534590,15,2.73984000,816.15276940
2020-10-03 14:15:00,296.90000000,297.36000000,296.90000000,297.18000000,56.55027000,1601728199999,16813.94462720,29,11.72664000,3486.18110990
2020-10-03 14:30:00,297.24000000,297.57000000,296.90000000,297.57000000,23.72285000,1601729099999,7044.91346250,17,1.67968000,499.45431590
2020-10-03 14:45:00,297.57000000,297.57000000,297.20000000,297.20000000,0.29812000,1601729999999,88.65341600,5,0.29812000,88.65341600
2020-10-03 15:00:00,296.90000000,297.77000000,296.90000000,297.40000000,1.06215000,1601730899999,315.84736880,11,0.62592000,186.19104380
2020-10-03 15:15:00,297.32000000,297.39000000,297.31000000,297.39000000,1.08524000,1601731799999,322.68526120,3,1.08524000,322.68526120
2020-10-03 15:30:00,297.38000000,297.41000000,296.90000000,296.90000000,17.04886000,1601732699999,5063.03357120,25,3.02285000,898.70581700
2020-10-03 15:45:00,297.39000000,297.39000000,296.90000000,297.28000000,118.90629000,1601733599999,35305.01661480,26,5.64577000,1677.96822680
2020-10-03 16:00:00,296.90000000,297.09000000,296.51000000,296.51000000,29.97549000,1601734499999,8891.02156730,11,1.64503000,488.71647930
2020-10-03 16:15:00,297.30000000,297.96000000,297.30000000,297.78000000,1.16521000,1601735399999,346.92584040,9,1.16521000,346.92584040
2020-10-03 16:30:00,297.59000000,297.98000000,297.55000000,297.82000000,20.53989000,1601736299999,6116.03032360,13,20.25235000,6030.46129500
2020-10-03 16:45:00,297.75000000,297.76000000,297.34000000,297.34000000,2.53409000,1601737199999,753.65783480,9,2.53409000,753.65783480
2020-10-03 17:00:00,297.12000000,297.24000000,297.12000000,297.24000000,1.64448000,1601738099999,488.63155320,4,1.64448000,488.63155320
2020-10-03 17:15:00,297.55000000,298.08000000,297.21000000,297.74000000,27.54972000,1601738999999,8207.25957220,21,26.87072000,8005.45398220
2020-10-03 17:30:00,297.74000000,297.74000000,297.12000000,297.12000000,7.63479000,1601739899999,2270.80613140,11,0.89012000,264.80638000
2020-10-03 17:45:00,297.42000000,297.74000000,297.42000000,297.74000000,3.45297000,1601740799999,1027.42283660,10,3.45297000,1027.42283660
2020-10-03 18:00:00,298.01000000,298.01000000,297.76000000,297.76000000,3.07628000,1601741699999,916.06270220,7,0.00000000,0.00000000
2020-10-03 18:15:00,297.98000000,298.16000000,297.98000000,298.00000000,0.80239000,1601742599999,239.13289280,8,0.44317000,132.08533280
2020-10-03 18:30:00,298.00000000,298.16000000,297.07000000,297.76000000,70.60076000,1601743499999,20990.81740760,37,3.65776000,1090.12718400
2020-10-03 18:45:00,298.30000000,298.65000000,297.56000000,298.65000000,18.38012000,1601744399999,5481.54468500,22,16.62256000,4957.70471540
